d,errd,a1,a1,a,erra
90,0.1,0.26,0.262,0.261,0.001
89,0.1,0.42,0.41,0.415,0.005
88,0.1,0.55,0.56,0.555,0.005
85,0.1,1.12,1.14,1.13,0.01
80,0.1,1.76,1.74,1.75,0.01
75,0.1,2.06,2.08,2.07,0.01
74,0.1,2.14,2.16,2.15,0.01
73,0.1,2.1,2.12,2.11,0.01
72,0.1,2.1,2.12,2.11,0.01
71,0.1,2,2.04,2.02,0.02
70,0.1,1.86,1.82,1.84,0.02
65,0.1,1.18,1.2,1.19,0.01
60,0.1,0.144,0.146,0.145,0.001
59,0.1,0.074,0.08,0.077,0.003
55,0.1,0.888,0.886,0.887,0.001
50,0.1,1.58,1.52,1.55,0.03
45,0.1,2.1,2.06,2.08,0.02
40,0.1,1.96,2,1.98,0.02
35,0.1,1.46,1.5,1.48,0.02
30,0.1,0.48,0.46,0.47,0.01
25,0.1,0.59,0.6,0.595,0.005
20,0.1,1.38,1.36,1.37,0.01
15,0.1,1.86,1.94,1.9,0.04
10,0.1,2.06,2.14,2.1,0.04
5,0.1,1.8,1.76,1.78,0.02