 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,15625,55.973,3.766,40,65,874578.000,874578.000
2,15625,54.593,3.861,41,64,853015.000,853015.000
3,15625,51.097,3.720,37,61,798385.000,798385.000
4,15625,47.583,3.662,34,58,743492.000,743492.000
5,15625,13.281,1.591,9,19,207514.000,207514.000
6,15625,9.724,0.941,5,15,151940.000,151940.000
7,15625,6.167,1.307,3,10,96358.000,96358.000
8,15625,3.585,0.559,2,7,56020.000,56020.000
9,15625,2.509,0.506,2,5,39199.000,39199.000
10,15625,2.009,0.093,1,3,31384.000,31384.000
11,15625,1.997,0.085,1,4,31200.000,31200.000
12,15625,1.949,0.222,1,3,30457.000,30457.000
14,15625,1.993,0.093,1,3,31141.000,31141.000
15,15625,2.013,0.116,2,4,31457.000,31457.000
16,15625,2.576,0.501,2,5,40257.000,40257.000
17,15625,3.657,0.563,2,8,57148.000,57148.000
18,15625,5.912,1.207,3,11,92368.000,92368.000
19,15625,9.253,0.781,4,13,144574.000,144574.000
20,15625,12.493,1.354,8,18,195209.000,195209.000
21,15625,17.349,1.563,11,25,271073.000,271073.000
22,15625,22.884,2.036,15,31,357569.000,357569.000
23,15625,29.043,2.637,19,40,453790.000,453790.000
24,15625,34.500,2.883,24,44,539065.000,539065.000
25,15625,40.553,3.084,30,49,633634.000,633634.000
26,15625,46.335,3.440,35,56,723980.000,723980.000
27,15625,51.154,3.674,38,61,799274.000,799274.000
28,15625,53.135,3.787,40,62,830239.000,830239.000
29,15625,55.223,3.706,41,64,862858.000,862858.000
30,15625,56.728,3.698,43,65,886377.000,886377.000
31,15625,56.822,3.742,42,66,887851.000,887851.000